MPIFFT_Gflops	MPIFFT_N	MPIFFT_maxErr	MPIFFT_Procs	MPIFFT_time4	MPIFFT_time5	MPIFFT_time6	MPIFFT_time0	MPIFFT_time1	MPIFFT_time2	MPIFFT_time3
18.2935	268435456	2.3666e-15	128	0.168212	0.673671	1.90735e-06	1.90735e-06	0.610407	0.0767281	0.501489
18.3504	268435456	2.3666e-15	128	0.209178	0.618913	4.05312e-06	2.14577e-06	0.594802	0.105431	0.470837
18.0551	268435456	2.3666e-15	128	0.204429	0.640646	2.14577e-06	3.09944e-06	0.610241	0.112952	0.464828
17.6366	268435456	2.3666e-15	128	0.287014	0.613724	5.96046e-06	9.53674e-07	0.603113	0.124385	0.456526
18.1729	268435456	2.3666e-15	128	0.302194	0.545684	2.14577e-06	1.19209e-06	0.589838	0.123942	0.450266
18.3669	268435456	2.3666e-15	128	0.21375	0.624029	8.10623e-06	1.90735e-06	0.589074	0.11168	0.467324
18.5159	268435456	2.3666e-15	128	0.178797	0.637058	2.14577e-06	9.53674e-07	0.60252	0.078099	0.50403
19.1394	268435456	2.3666e-15	128	0.140863	0.62543	3.8147e-06	1.90735e-06	0.604513	0.109316	0.466072
18.4348	268435456	2.3666e-15	128	0.224321	0.585644	9.53674e-07	2.14577e-06	0.598552	0.123177	0.457974
18.1412	268435456	2.3666e-15	128	0.305416	0.54056	5.00679e-06	2.14577e-06	0.589669	0.126802	0.455111
18.1947	268435456	2.3666e-15	128	0.215166	0.630328	5.00679e-06	1.90735e-06	0.591525	0.108905	0.46645
18.2768	268435456	2.3666e-15	128	0.217019	0.606237	5.96046e-06	9.53674e-07	0.610606	0.101015	0.474817
18.3782	268435456	2.3666e-15	128	0.264433	0.579196	3.09944e-06	9.53674e-07	0.5952	0.11866	0.455424
18.5091	268435456	2.3666e-15	128	0.173792	0.640354	1.90735e-06	1.90735e-06	0.607445	0.0554249	0.520719
18.2993	268435456	2.3666e-15	128	0.165668	0.671707	3.09944e-06	0	0.607552	0.101377	0.473516
18.8882	268435456	2.3666e-15	128	0.208149	0.580667	4.05312e-06	1.90735e-06	0.594495	0.114356	0.46344
18.5426	268435456	2.3666e-15	128	0.243388	0.578485	9.53674e-07	1.90735e-06	0.60269	0.125389	0.451391
18.387	268435456	2.3666e-15	128	0.204897	0.616343	5.96046e-06	9.53674e-07	0.59439	0.101341	0.476113
17.9922	268435456	2.3666e-15	128	0.257147	0.621576	8.10623e-06	2.86102e-06	0.586913	0.143126	0.432112
18.6708	268435456	2.3666e-15	128	0.196937	0.598685	5.96046e-06	9.53674e-07	0.601787	0.0803511	0.495365
18.0717	268435456	2.3666e-15	128	0.147189	0.697066	2.86102e-06	2.14577e-06	0.626926	0.056541	0.521918
18.8613	268435456	2.3666e-15	128	0.151481	0.642576	4.05312e-06	1.90735e-06	0.599431	0.107608	0.465908
18.0792	268435456	2.3666e-15	128	0.223767	0.629027	7.15256e-06	2.14577e-06	0.601032	0.101593	0.471083
18.1171	268435456	2.3666e-15	128	0.234007	0.612989	2.86102e-06	9.53674e-07	0.598791	0.125192	0.447018
18.2591	268435456	2.3666e-15	128	0.200819	0.657862	9.53674e-07	9.53674e-07	0.600328	0.129146	0.451284
18.121	268435456	2.3666e-15	128	0.268418	0.571611	4.05312e-06	9.53674e-07	0.604492	0.116261	0.461956
18.4466	268435456	2.3666e-15	128	0.203842	0.61819	4.76837e-06	2.14577e-06	0.604293	0.108291	0.463845
17.8621	268435456	2.3666e-15	128	0.307005	0.567878	6.91414e-06	9.53674e-07	0.586806	0.129649	0.455489
17.7128	268435456	2.3666e-15	128	0.293002	0.567365	9.53674e-07	9.53674e-07	0.614147	0.123045	0.462262
18.1133	268435456	2.3666e-15	128	0.271978	0.5947	1.90735e-06	9.53674e-07	0.596801	0.144551	0.431085
